instancia_label,instancia_id,n_cursos,rep,seed,checkpoint,utilidad_mejor,tiempo_total_s
A,instancia_A,10,1,59,10,22.0,0.062
A,instancia_A,10,1,59,25,22.0,0.062
A,instancia_A,10,1,59,50,22.0,0.062
A,instancia_A,10,1,59,100,22.0,0.062
A,instancia_A,10,1,59,200,22.0,0.062
A,instancia_A,10,1,59,350,22.0,0.062
A,instancia_A,10,1,59,500,22.0,0.062
A,instancia_A,10,1,59,750,22.0,0.062
A,instancia_A,10,1,59,1000,22.0,0.062
A,instancia_A,10,1,59,1500,22.0,0.062
A,instancia_A,10,1,59,2000,22.0,0.062
A,instancia_A,10,1,59,3000,22.0,0.062
A,instancia_A,10,1,59,4000,22.0,0.062
A,instancia_A,10,1,59,5000,22.0,0.062
A,instancia_A,10,2,76,10,22.0,0.066
A,instancia_A,10,2,76,25,22.0,0.066
A,instancia_A,10,2,76,50,22.0,0.066
A,instancia_A,10,2,76,100,22.0,0.066
A,instancia_A,10,2,76,200,22.0,0.066
A,instancia_A,10,2,76,350,22.0,0.066
A,instancia_A,10,2,76,500,22.0,0.066
A,instancia_A,10,2,76,750,22.0,0.066
A,instancia_A,10,2,76,1000,22.0,0.066
A,instancia_A,10,2,76,1500,22.0,0.066
A,instancia_A,10,2,76,2000,22.0,0.066
A,instancia_A,10,2,76,3000,22.0,0.066
A,instancia_A,10,2,76,4000,22.0,0.066
A,instancia_A,10,2,76,5000,22.0,0.066
A,instancia_A,10,3,93,10,22.0,0.056
A,instancia_A,10,3,93,25,22.0,0.056
A,instancia_A,10,3,93,50,22.0,0.056
A,instancia_A,10,3,93,100,22.0,0.056
A,instancia_A,10,3,93,200,22.0,0.056
A,instancia_A,10,3,93,350,22.0,0.056
A,instancia_A,10,3,93,500,22.0,0.056
A,instancia_A,10,3,93,750,22.0,0.056
A,instancia_A,10,3,93,1000,22.0,0.056
A,instancia_A,10,3,93,1500,22.0,0.056
A,instancia_A,10,3,93,2000,22.0,0.056
A,instancia_A,10,3,93,3000,22.0,0.056
A,instancia_A,10,3,93,4000,22.0,0.056
A,instancia_A,10,3,93,5000,22.0,0.056
B,instancia_B,22,1,59,10,49.0,0.205
B,instancia_B,22,1,59,25,49.0,0.205
B,instancia_B,22,1,59,50,49.0,0.205
