instancia_label,instancia_id,ruta,n_cursos_ruta,utilidad,duracion_nominal_h,holgura_h,holgura_pct,t_max,cv,n_simulaciones,p_factible,p_factible_pct,ic95_lower,ic95_upper,dur_media_sim,dur_std_sim,dur_p95_sim,nivel_riesgo
A,instancia_A,dp_optima,3,22.0,75.0,5.0,6.25,80.0,0.1,5000,0.8736,87.36,0.864101,0.882525,74.88,4.46,82.3,MEDIO (70% ≤ p < 90%)
A,instancia_A,dp_optima,3,22.0,75.0,5.0,6.25,80.0,0.2,5000,0.7414,74.14,0.729081,0.753348,74.71,8.65,89.43,MEDIO (70% ≤ p < 90%)
A,instancia_A,dp_optima,3,22.0,75.0,5.0,6.25,80.0,0.3,5000,0.674,67.4,0.660878,0.686855,74.72,13.12,97.47,ALTO  (p < 70%)
A,instancia_A,parcial_50pct,1,6.0,20.0,60.0,75.0,80.0,0.1,5000,1.0,100.0,0.999232,1.0,19.95,1.96,23.24,BAJO  (p ≥ 90%)
A,instancia_A,parcial_50pct,1,6.0,20.0,60.0,75.0,80.0,0.2,5000,1.0,100.0,0.999232,1.0,19.92,3.9,26.58,BAJO  (p ≥ 90%)
A,instancia_A,parcial_50pct,1,6.0,20.0,60.0,75.0,80.0,0.3,5000,1.0,100.0,0.999232,1.0,19.9,5.85,30.14,BAJO  (p ≥ 90%)
A,instancia_A,parcial_70pct,2,14.0,45.0,35.0,43.75,80.0,0.1,5000,1.0,100.0,0.999232,1.0,44.93,3.21,50.26,BAJO  (p ≥ 90%)
A,instancia_A,parcial_70pct,2,14.0,45.0,35.0,43.75,80.0,0.2,5000,1.0,100.0,0.999232,1.0,44.83,6.3,55.59,BAJO  (p ≥ 90%)
A,instancia_A,parcial_70pct,2,14.0,45.0,35.0,43.75,80.0,0.3,5000,0.999,99.9,0.997661,0.999573,44.73,9.48,61.3,BAJO  (p ≥ 90%)
A,instancia_A,parcial_90pct,2,14.0,45.0,35.0,43.75,80.0,0.1,5000,1.0,100.0,0.999232,1.0,44.93,3.21,50.26,BAJO  (p ≥ 90%)
A,instancia_A,parcial_90pct,2,14.0,45.0,35.0,43.75,80.0,0.2,5000,1.0,100.0,0.999232,1.0,44.83,6.3,55.59,BAJO  (p ≥ 90%)
A,instancia_A,parcial_90pct,2,14.0,45.0,35.0,43.75,80.0,0.3,5000,0.999,99.9,0.997661,0.999573,44.73,9.48,61.3,BAJO  (p ≥ 90%)
A,instancia_A,greedy,3,22.0,75.0,5.0,6.25,80.0,0.1,5000,0.8736,87.36,0.864101,0.882525,74.88,4.46,82.3,MEDIO (70% ≤ p < 90%)
A,instancia_A,greedy,3,22.0,75.0,5.0,6.25,80.0,0.2,5000,0.7414,74.14,0.729081,0.753348,74.71,8.65,89.43,MEDIO (70% ≤ p < 90%)
A,instancia_A,greedy,3,22.0,75.0,5.0,6.25,80.0,0.3,5000,0.674,67.4,0.660878,0.686855,74.72,13.12,97.47,ALTO  (p < 70%)
A,instancia_A,mc_mejor,3,22.0,75.0,5.0,6.25,80.0,0.1,5000,0.8736,87.36,0.864101,0.882525,74.88,4.46,82.3,MEDIO (70% ≤ p < 90%)
A,instancia_A,mc_mejor,3,22.0,75.0,5.0,6.25,80.0,0.2,5000,0.7414,74.14,0.729081,0.753348,74.71,8.65,89.43,MEDIO (70% ≤ p < 90%)
